,tweet_id,retweets,favorites,timestamp,source,text,hashtags,expanded_urls,jpg_url
1515,791672322847637504,3517,12800,2016-10-27 16:06:04 +0000,Twitter for iPhone,When she says you're a good boy and you know you're a good boy because you're a good boy,,https://twitter.com/dog_rates/status/791672322847637504/photo/1,https://pbs.twimg.com/media/CvyVxQRWEAAdSZS.jpg
1516,792050063153438720,2018,7819,2016-10-28 17:07:05 +0000,Twitter for iPhone,"This is Remus, He's a mop that came to life, Can't see anything, Constantly trips over himself, Still a very good dog",,"https://twitter.com/dog_rates/status/792050063153438720/photo/1,https://twitter.com/dog_rates/status/792050063153438720/photo/1",https://pbs.twimg.com/media/Cv3tU38WcAASFas.jpg
1517,792394556390137856,4810,14687,2016-10-29 15:55:58 +0000,Twitter for iPhone,"Meet BeBe, She rocks the messy bun of your dreams, H*ckin flawless",,"https://twitter.com/dog_rates/status/792394556390137856/photo/1,https://twitter.com/dog_rates/status/792394556390137856/photo/1",https://pbs.twimg.com/media/Cv8moW9W8AIHOxR.jpg
1518,792773781206999040,1882,7999,2016-10-30 17:02:53 +0000,Twitter for iPhone,"This is Monster, Not an actual monster tho, He's showing you his tongue, Very impressive Monster",,https://twitter.com/dog_rates/status/792773781206999040/photo/1,https://pbs.twimg.com/media/CwB_i-zXEAEiP29.jpg
1519,792883833364439040,4793,12325,2016-10-31 00:20:11 +0000,Twitter for iPhone,"This is Bailey, She's rather h*ckin hype for Halloween tomorrow, Carved those pupkins herself",,"https://twitter.com/dog_rates/status/792883833364439040/photo/1,https://twitter.com/dog_rates/status/792883833364439040/photo/1,https://twitter.com/dog_rates/status/792883833364439040/photo/1,https://twitter.com/dog_rates/status/792883833364439040/photo/1",https://pbs.twimg.com/media/CwDjoH3WAAIniIs.jpg
1520,792913359805018113,4508,15637,2016-10-31 02:17:31 +0000,Twitter for iPhone,Here is a perfect example of someone who has their priorities in order,,"https://twitter.com/dog_rates/status/792913359805018113/photo/1,https://twitter.com/dog_rates/status/792913359805018113/photo/1,https://twitter.com/dog_rates/status/792913359805018113/photo/1,https://twitter.com/dog_rates/status/792913359805018113/photo/1",https://pbs.twimg.com/media/CwD-eCLWIAA6v0B.jpg
1521,793120401413079041,4381,13828,2016-10-31 16:00:13 +0000,Twitter for iPhone,"This is Robin, She's desperately trying to do me a frighten, but her tongue drastically decreases her spook value",,https://twitter.com/dog_rates/status/793120401413079041/photo/1,https://pbs.twimg.com/media/CwG6zDfWcAA8jBD.jpg
1522,793135492858580992,2787,7030,2016-10-31 17:00:11 +0000,Twitter for iPhone,Your favorite squad is looking extra h*ckin spooky today,,"https://twitter.com/dog_rates/status/793135492858580992/photo/1,https://twitter.com/dog_rates/status/793135492858580992/photo/1",https://pbs.twimg.com/media/CwHIg61WIAApnEV.jpg
1523,793150605191548928,1917,6725,2016-10-31 18:00:14 +0000,Twitter for iPhone,"This is Nida, She's a free elf, Waited so long for this day",,https://twitter.com/dog_rates/status/793150605191548928/photo/1,https://pbs.twimg.com/media/CwHWOZ7W8AAHv8S.jpg
1524,793165685325201412,3119,10234,2016-10-31 19:00:10 +0000,Twitter for iPhone,"This is Benji, He's Air Bud, It's a low effort costume but he pulls it off rather h*ckin well",,https://twitter.com/dog_rates/status/793165685325201412/photo/1,https://pbs.twimg.com/media/CwHj-jGWAAAnsny.jpg
1525,793180763617361921,2233,7536,2016-10-31 20:00:05 +0000,Twitter for iPhone,"This is Newt, He's a strawberry",,https://twitter.com/dog_rates/status/793180763617361921/photo/1,https://pbs.twimg.com/media/CwHxsdYVMAAqGCJ.jpg
1526,793195938047070209,6308,16632,2016-10-31 21:00:23 +0000,Twitter for iPhone,"Say hello to Lily, She's pupset that her costume doesn't fit as well as last year",,"https://twitter.com/dog_rates/status/793195938047070209/photo/1,https://twitter.com/dog_rates/status/793195938047070209/photo/1",https://pbs.twimg.com/media/CwH_foYWgAEvTyI.jpg
1527,793210959003287553,3159,9728,2016-10-31 22:00:04 +0000,Twitter for iPhone,"This is Maude, She's the h*ckin happiest wasp you've ever seen",,https://twitter.com/dog_rates/status/793210959003287553/photo/1,https://pbs.twimg.com/media/CwINKJeW8AYHVkn.jpg
1528,793226087023144960,3210,10705,2016-10-31 23:00:11 +0000,Twitter for iPhone,"This is Juno, She spooked me up real good, but only to get my attention, Above average handwriting for a dog I think",,"https://twitter.com/dog_rates/status/793226087023144960/photo/1,https://twitter.com/dog_rates/status/793226087023144960/photo/1,https://twitter.com/dog_rates/status/793226087023144960/photo/1",https://pbs.twimg.com/media/CwIa5CjW8AErZgL.jpg
1529,793241302385262592,3688,11475,2016-11-01 00:00:38 +0000,Twitter for iPhone,"This is Tucker, He's out here bustin h*ckin ghosts",,https://twitter.com/dog_rates/status/793241302385262592/photo/1,https://pbs.twimg.com/media/CwIougTWcAAMLyq.jpg
1530,793256262322548741,9343,21764,2016-11-01 01:00:05 +0000,Twitter for iPhone,"Oh h*ck look at this spookling right here, Fright level off the charts",,https://twitter.com/dog_rates/status/793256262322548741/photo/1,https://pbs.twimg.com/media/CwI2XCvXEAEO8mc.jpg
1531,793271401113350145,2649,9411,2016-11-01 02:00:14 +0000,Twitter for iPhone,"Meet Dave, It's his favorite day of the year, He gets to fulfill his dream of being a dinosaur",,https://twitter.com/dog_rates/status/793271401113350145/photo/1,https://pbs.twimg.com/media/CwJEIKTWYAAvL-T.jpg
1532,793286476301799424,10327,26830,2016-11-01 03:00:09 +0000,Twitter for iPhone,"This is Moreton, He's the Good Boy Who Lived",,"https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1",https://pbs.twimg.com/media/CwJR1okWIAA6XMp.jpg
1533,793500921481273345,2676,11654,2016-11-01 17:12:16 +0000,Twitter for iPhone,"This is Fiona, She's an extremely mediocre copilot, Very distracting, Wink makes up for all the missed turns",,"https://twitter.com/dog_rates/status/793500921481273345/photo/1,https://twitter.com/dog_rates/status/793500921481273345/photo/1",https://pbs.twimg.com/media/CwMU34YWIAAz1nU.jpg
1534,793601777308463104,1837,8686,2016-11-01 23:53:02 +0000,Twitter for iPhone,"This is Dobby, I can't stop looking at her feet",,https://twitter.com/dog_rates/status/793601777308463104/photo/1,https://pbs.twimg.com/media/CwNwmxvXEAEJ54Z.jpg
1535,793845145112371200,2104,10026,2016-11-02 16:00:06 +0000,Twitter for iPhone,"This is Clark, He was just caught wearing pants",,https://twitter.com/dog_rates/status/793845145112371200/photo/1,https://pbs.twimg.com/media/CwRN8H6WgAASe4X.jpg
